timestamp,density,num_cars,spawn_prob,min_gap,actual_vehicle_count,target_vehicle_count
1769251299.1482522,MEDIUM,,,,2,6
1769251300.153681,MEDIUM,,,,2,6
1769251301.178546,MEDIUM,,,,2,6
1769251302.1791728,MEDIUM,,,,2,6
1769251303.205185,MEDIUM,,,,2,6
1769251304.2085667,MEDIUM,,,,2,6
1769251305.2339892,MEDIUM,,,,2,6
1769251306.2585394,MEDIUM,,,,2,6
1769251307.261149,MEDIUM,,,,2,6
1769251308.2641401,MEDIUM,,,,2,6
1769410306.0412607,MEDIUM,,,,2,6
1769410307.0603566,MEDIUM,,,,2,6
1769410308.065878,MEDIUM,,,,2,6
1769410309.0823905,MEDIUM,,,,2,6
1769410310.108326,MEDIUM,,,,2,6
1769410311.1125317,MEDIUM,,,,2,6
1769410312.1152294,MEDIUM,,,,2,6
1769410313.1222003,MEDIUM,,,,2,6
1769410314.1472266,MEDIUM,,,,2,6
1769410315.151495,MEDIUM,,,,1,6
1769410316.1737828,MEDIUM,,,,2,6
1769410317.1982994,MEDIUM,,,,2,6
1769410318.2224119,MEDIUM,,,,2,6
1769410319.226372,MEDIUM,,,,2,6
1769410320.2272322,MEDIUM,,,,2,6
1769410321.228346,MEDIUM,,,,2,6
1769410322.249543,MEDIUM,,,,2,6
1769410323.2512581,MEDIUM,,,,2,6
1769410324.2552488,MEDIUM,,,,2,6
1769410325.2652633,MEDIUM,,,,2,6
1769410326.270956,MEDIUM,,,,2,6
1769410327.295022,MEDIUM,,,,2,6
1769410328.2981312,MEDIUM,,,,2,6
1769410329.0682826,HIGH,10,0.05,150,,
1769410329.2996237,HIGH,,,,2,10
1769410330.304036,HIGH,,,,2,10
1769410331.3059795,HIGH,,,,2,10
1769410331.6132433,LOW,3,0.01,400,,
1769410331.9959092,MEDIUM,6,0.03,250,,
1769410332.2020812,HIGH,10,0.05,150,,
1769410332.330818,HIGH,,,,2,10
1769410333.3334758,HIGH,,,,2,10
1769410334.3378084,HIGH,,,,2,10
1769410335.3407726,HIGH,,,,2,10
1769410336.3657935,HIGH,,,,2,10
1769410337.3876133,HIGH,,,,2,10
1769410338.4061239,HIGH,,,,2,10
1769410339.4296968,HIGH,,,,2,10
1769410340.4519346,HIGH,,,,2,10
1769410341.4531934,HIGH,,,,2,10
1769410342.4791105,HIGH,,,,2,10
1769410343.4832647,HIGH,,,,2,10
1769410344.5050366,HIGH,,,,2,10
1769410345.5308998,HIGH,,,,2,10
